"","BLOCK_ID","GROUP_NUM","INT_LAT","INT_LON"
"132","130630406081089",0,33.3772705,-84.3544934
"133","130630406081039",0,33.4328605,-84.3542178
"134","130630406081104",0,33.4380531,-84.3363867
"135","130630402041003",29,33.6003194,-84.4354915
"136","130630403033011",3,33.6425567,-84.3516381
"137","130630404082021",72,33.5891764,-84.3271511
"138","130630404083013",33,33.5881358,-84.3265699
"139","130630404101005",205,33.6465545,-84.3053493
"140","130630404101004",4,33.6461304,-84.2991218
"141","130630403081085",0,33.6204918,-84.3975305
"142","130630403023010",15,33.6375733,-84.3764399
"143","130630403023034",0,33.6281755,-84.3838607
"144","130630404141008",73,33.590408,-84.3751678
"145","130630404172001",99,33.5646964,-84.3656995
"146","130630404102009",0,33.6272398,-84.3179338
"147","130630406133003",19,33.5042175,-84.3021116
"148","130630406133011",0,33.5037975,-84.3247998
"149","130630406131007",0,33.5107011,-84.3360471
"150","130630406131011",37,33.5074619,-84.3352807
"151","130630406082024",0,33.4205858,-84.3821837
"152","130630406092011",45,33.5472332,-84.3168306
"153","130630406092016",45,33.5400518,-84.3269621
"154","130630406151009",89,33.5380119,-84.318658
"155","130630404081006",108,33.5882155,-84.3425059
"156","130630404101097",0,33.6118246,-84.288207
"157","130630404101064",267,33.5996103,-84.295346
"158","130630404101002",481,33.6384696,-84.2857152
"159","130630404072002",2,33.6129479,-84.3201961
"160","130630404102045",0,33.6222129,-84.3162468
"161","130630404102030",0,33.6253287,-84.3198424
"162","130630404102073",0,33.6179366,-84.3393961
"163","130630404102038",0,33.6229767,-84.3197072
"164","130630404102066",0,33.61596,-84.3403218
"165","130630404102052",0,33.6200693,-84.3302228
"166","130630406131006",29,33.509375,-84.3356112
"167","130630406143005",184,33.5308564,-84.3221383
"168","130630406111007",93,33.5522719,-84.3779012
"169","130630406201031",102,33.4890564,-84.3662725
"170","130630406142016",0,33.5163095,-84.3111553
"171","130630406221000",0,33.4843002,-84.3389137
"172","130630406061029",0,33.4504118,-84.3206488
"173","130630406062010",0,33.4474045,-84.3159502
"174","130630406171002",15,33.55956,-84.2639642
"175","130630404151010",94,33.5594096,-84.3825264
"176","130630404101030",416,33.6408707,-84.3058616
"177","130630404101011",0,33.6385305,-84.3148876
"178","130630404102058",0,33.6237403,-84.3423533
"179","130630404101044",101,33.6238888,-84.2885993
"180","130630404072046",20,33.6087499,-84.3229085
"181","130630404072059",2,33.6038346,-84.3206091
"182","130630404082010",0,33.5927687,-84.3280551
"183","130630403031014",95,33.6277352,-84.349236
"184","130630404131000",251,33.5791362,-84.2922249
"185","130630406201029",0,33.4892121,-84.3826396
"186","130630406161010",0,33.5520282,-84.2692517
"187","130630406142028",12,33.510989,-84.2861745
"188","130630406123013",0,33.5184473,-84.3542406
"189","130630406221006",85,33.4776013,-84.3470735
"190","130630406061016",0,33.4802385,-84.3007967
"191","130630406191007",17,33.5137157,-84.3694183
"192","130630406123037",0,33.5144814,-84.3644562
"193","130630406151005",127,33.5474944,-84.2987072
"194","130630406142008",62,33.5209443,-84.3090706
"195","130630406212015",22,33.4640242,-84.3351724
"196","130630406201011",56,33.4948715,-84.3599638
"197","130630406223009",45,33.478388,-84.3561132
"198","130630406201030",42,33.4885639,-84.3739365
